Year,State,Vehicle_Category,EV_Sales_Quantity
2014,Andhra Pradesh,Others,0
2014,Andhra Pradesh,Others,0
2014,Andhra Pradesh,Others,0
2014,Andhra Pradesh,Others,0
2014,Andhra Pradesh,Bus,0
2014,Andhra Pradesh,Others,0
2014,Andhra Pradesh,Others,0
2014,Andhra Pradesh,Bus,0
2014,Andhra Pradesh,Others,0
2014,Andhra Pradesh,Others,0
2014,Andhra Pradesh,Others,0
2014,Andhra Pradesh,Others,0
2014,Andhra Pradesh,Others,0
2014,Andhra Pradesh,2W,1
2014,Andhra Pradesh,4W,0
2014,Andhra Pradesh,4W,0
2014,Andhra Pradesh,Bus,0
2014,Andhra Pradesh,Others,0
2014,Andhra Pradesh,Others,0
2014,Andhra Pradesh,3W,0
2014,Andhra Pradesh,Others,0
2014,Andhra Pradesh,Others,0
2014,Andhra Pradesh,Others,0
2014,Andhra Pradesh,Others,0
2014,Andhra Pradesh,Others,0
2014,Arunachal Pradesh,Others,0
2014,Arunachal Pradesh,Bus,0
2014,Arunachal Pradesh,Others,0
2014,Arunachal Pradesh,Others,0
2014,Arunachal Pradesh,Others,0
2014,Arunachal Pradesh,Others,0
2014,Arunachal Pradesh,Others,0
2014,Arunachal Pradesh,Others,0
2014,Arunachal Pradesh,Others,0
2014,Arunachal Pradesh,Others,0
2014,Arunachal Pradesh,2W,0
2014,Arunachal Pradesh,2W,0
2014,Arunachal Pradesh,4W,0
2014,Arunachal Pradesh,4W,0
2014,Arunachal Pradesh,3W,0
2014,Arunachal Pradesh,3W,0
2014,Arunachal Pradesh,Others,0
2014,Arunachal Pradesh,Others,0
2014,Assam,Others,0
2014,Assam,Others,0
2014,Assam,Others,0
2014,Assam,Bus,0
2014,Assam,Others,0
2014,Assam,Others,0
2014,Assam,Others,0
2014,Assam,Others,0
2014,Assam,Others,0
2014,Assam,Others,0
2014,Assam,Others,0
2014,Assam,2W,0
2014,Assam,2W,0
2014,Assam,4W,0
2014,Assam,4W,0
2014,Assam,3W,0
2014,Assam,3W,0
2014,Assam,3W,0
2014,Assam,Others,0
2014,Assam,Others,0
2014,Andaman & Nicobar Island,Bus,0
2014,Andaman & Nicobar Island,Others,0
2014,Andaman & Nicobar Island,Others,0
2014,Andaman & Nicobar Island,2W,0
2014,Andaman & Nicobar Island,2W,0
2014,Andaman & Nicobar Island,4W,0
2014,Andaman & Nicobar Island,4W,0
2014,Andaman & Nicobar Island,2W,0
2014,Andaman & Nicobar Island,3W,0
2014,Bihar,Others,0
2014,Bihar,Bus,0
2014,Bihar,Others,0
2014,Bihar,Others,0
2014,Bihar,Others,0
2014,Bihar,Others,0
2014,Bihar,2W,0
2014,Bihar,2W,0
2014,Bihar,2W,0
2014,Bihar,4W,0
2014,Bihar,4W,0
2014,Bihar,2W,0
2014,Bihar,3W,0
2014,Bihar,3W,0
2014,Bihar,Others,0
2014,Bihar,Others,0
2014,Chhattisgarh,Others,0
2014,Chhattisgarh,Others,0
2014,Chhattisgarh,Others,0
2014,Chhattisgarh,Others,0
2014,Chhattisgarh,Bus,0
2014,Chhattisgarh,Others,0
2014,Chhattisgarh,Others,0
2014,Chhattisgarh,Others,0
2014,Chhattisgarh,Others,0
2014,Chhattisgarh,Bus,0
2014,Chhattisgarh,Others,0
2014,Chhattisgarh,Others,0
2014,Chhattisgarh,Others,0
2014,Chhattisgarh,Others,0
2014,Chhattisgarh,2W,10
2014,Chhattisgarh,Others,0
2014,Chhattisgarh,2W,0
2014,Chhattisgarh,4W,0
2014,Chhattisgarh,4W,0
2014,Chhattisgarh,Bus,0
2014,Chhattisgarh,Bus,0
2014,Chhattisgarh,Others,0
2014,Chhattisgarh,3W,0
2014,Chhattisgarh,3W,0
2014,Chhattisgarh,Others,0
2014,Chhattisgarh,Others,0
2014,Chhattisgarh,Others,0
2014,Chhattisgarh,Others,0
2014,Chhattisgarh,Others,0
2014,Chandigarh,Others,0
2014,Chandigarh,Others,0
2014,Chandigarh,Bus,0
2014,Chandigarh,Others,0
2014,Chandigarh,Bus,0
2014,Chandigarh,Others,0
2014,Chandigarh,2W,0
2014,Chandigarh,2W,0
2014,Chandigarh,4W,0
2014,Chandigarh,4W,0
2014,Chandigarh,3W,0
2014,Chandigarh,3W,0
2014,Chandigarh,Others,0
2014,Dadra and Nagar Haveli and Daman and Diu,Others,0
2014,Dadra and Nagar Haveli and Daman and Diu,Others,0
2014,Dadra and Nagar Haveli and Daman and Diu,Others,0
2014,Dadra and Nagar Haveli and Daman and Diu,Others,0
2014,Dadra and Nagar Haveli and Daman and Diu,Others,0
2014,Dadra and Nagar Haveli and Daman and Diu,Others,0
2014,Dadra and Nagar Haveli and Daman and Diu,Others,0
2014,Dadra and Nagar Haveli and Daman and Diu,Others,0
2014,Dadra and Nagar Haveli and Daman and Diu,Others,0
2014,Dadra and Nagar Haveli and Daman and Diu,2W,0
2014,Dadra and Nagar Haveli and Daman and Diu,2W,0
2014,Dadra and Nagar Haveli and Daman and Diu,4W,0
2014,Dadra and Nagar Haveli and Daman and Diu,Bus,0
2014,Dadra and Nagar Haveli and Daman and Diu,3W,0
2014,Dadra and Nagar Haveli and Daman and Diu,Others,0
2014,Delhi,Others,0
2014,Delhi,Others,0
2014,Delhi,Others,0
2014,Delhi,Bus,0
2014,Delhi,Others,0
2014,Delhi,Others,0
2014,Delhi,4W,0
2014,Delhi,Others,0
2014,Delhi,2W,2
2014,Delhi,2W,0
2014,Delhi,2W,0
2014,Delhi,4W,0
2014,Delhi,4W,5
2014,Delhi,Others,0
2014,Delhi,3W,0
2014,Delhi,3W,0
2014,Delhi,3W,0
2014,Goa,Others,0
2014,Goa,Others,0
2014,Goa,Bus,0
2014,Goa,Others,0
2014,Goa,Others,0
2014,Goa,Others,0
2014,Goa,Others,0
2014,Goa,Others,0
2014,Goa,2W,0
2014,Goa,2W,0
2014,Goa,4W,0
2014,Goa,4W,1
2014,Goa,Others,0
2014,Goa,2W,0
2014,Goa,3W,0
2014,Goa,3W,0
2014,Gujarat,Others,0
2014,Gujarat,Others,1
2014,Gujarat,Others,0
2014,Gujarat,Others,0
2014,Gujarat,Others,0
2014,Gujarat,Bus,0
2014,Gujarat,Others,0
2014,Gujarat,Others,0
2014,Gujarat,Others,0
2014,Gujarat,Others,0
2014,Gujarat,Others,0
2014,Gujarat,Others,0
2014,Gujarat,Others,0
2014,Gujarat,Others,0
2014,Gujarat,Others,1
2014,Gujarat,Others,0
2014,Gujarat,Others,0
2014,Gujarat,Others,0
2014,Gujarat,2W,14
2014,Gujarat,2W,0
2014,Gujarat,4W,0
2014,Gujarat,4W,0
2014,Gujarat,2W,0
2014,Gujarat,Bus,0
2014,Gujarat,3W,0
2014,Gujarat,3W,0
2014,Gujarat,3W,0
2014,Gujarat,Others,0
2014,Gujarat,Others,0
2014,Gujarat,Others,0
2014,Gujarat,Others,0
2014,Gujarat,Others,0
2014,Gujarat,Others,0
2014,Gujarat,Others,0
2014,Himachal Pradesh,Others,0
2014,Himachal Pradesh,Others,0
2014,Himachal Pradesh,Others,0
2014,Himachal Pradesh,Bus,0
2014,Himachal Pradesh,Others,0
2014,Himachal Pradesh,Bus,0
2014,Himachal Pradesh,Others,0
2014,Himachal Pradesh,Others,0
2014,Himachal Pradesh,Others,0
2014,Himachal Pradesh,2W,0
2014,Himachal Pradesh,2W,0
2014,Himachal Pradesh,4W,0
2014,Himachal Pradesh,4W,1
2014,Himachal Pradesh,Bus,0
2014,Himachal Pradesh,Bus,0
2014,Himachal Pradesh,Others,0
2014,Himachal Pradesh,Others,0
2014,Himachal Pradesh,Others,0
2014,Himachal Pradesh,3W,0
2014,Himachal Pradesh,3W,0
2014,Himachal Pradesh,Others,0
2014,Haryana,Others,1
2014,Haryana,Others,0
2014,Haryana,Others,0
2014,Haryana,Bus,0
2014,Haryana,Others,0
2014,Haryana,Others,0
