Category,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
3W,0,0,31,12,0,0,0,0,0,0
3W,0,0,0,0,0,0,112,390,545,51
2W,0,0,0,1,0,0,0,0,0,0
3W,0,1,1,0,0,0,0,0,0,0
3W,0,0,0,0,48,66,43,68,266,578
4W,0,0,0,0,3,1,0,0,0,0
3W,0,1,0,0,0,0,0,0,0,0
3W,0,0,2,1,0,0,0,0,0,0
3W,0,1,72,56,42,1,5,3,2,0
3W,0,0,100,625,438,195,256,433,563,355
3W,0,0,0,2,28,14,20,93,279,146
4W,0,1,0,2,0,0,0,0,0,0
3W,0,0,0,0,0,1,0,0,0,0
3W,0,0,0,0,0,0,0,0,0,66
3W,0,2,8,0,0,0,0,0,0,0
3W,0,0,0,0,0,0,0,0,0,164
3W,0,0,33,280,452,256,677,1451,1309,674
2W,0,0,0,0,0,0,0,0,0,2
3W,0,8,94,85,41,3,17,8,0,0
4W,0,0,2,75,0,0,0,0,0,0
3W,0,3,0,4,6,4,6,516,797,312
4W,0,0,0,0,0,1,0,0,0,0
3W,0,1,471,179,10,0,0,0,0,0
4W,0,0,2,6,0,0,0,0,0,0
3W,0,0,0,0,13,0,0,10,34,4
4W,0,0,0,0,1,0,0,0,0,0
3W,0,0,0,0,0,61,202,309,918,1194
3W,0,0,0,0,0,0,0,0,0,16
3W,0,0,1,0,0,0,10,13,18,4
3W,0,0,0,0,1,0,0,0,0,0
3W,0,0,1,0,0,0,0,0,0,0
4W,0,0,1,0,0,0,0,0,0,0
2W,0,0,0,0,0,0,0,0,12,48
3W,0,1,21,240,315,111,207,608,598,329
2W,0,1,0,0,0,0,0,0,0,0
3W,0,0,4,0,0,0,0,0,0,0
4W,6,1,0,0,0,0,0,0,0,0
3W,0,0,0,0,6,2,1,3,4,1
4W,0,0,0,0,0,0,0,0,0,1
3W,0,0,0,0,8,14,34,168,689,927
3W,0,2,17,3,0,0,1,0,0,0
3W,0,0,0,0,1,0,5,3,1,0
3W,0,39,187,176,296,75,53,129,179,152
4W,0,0,2,2,0,0,0,0,0,0
3W,0,0,0,0,0,0,0,0,129,151
2W,0,0,0,0,0,0,65,226,61,8
2W,0,0,0,0,0,1,8,186,138,34
3W,0,1,0,0,0,0,0,0,0,0
3W,0,0,0,0,2,2,1,1,0,2
3W,0,0,1,0,0,0,0,0,0,0
4W,0,0,2,0,0,0,0,0,0,0
2W,0,0,0,0,0,0,1,0,0,0
3W,0,0,0,0,0,0,0,33,190,109
3W,0,0,0,0,1,0,0,0,0,0
4W,0,0,0,1,0,0,0,0,0,0
3W,0,0,0,0,0,0,0,0,138,1048
3W,0,0,0,0,1,0,0,0,0,0
3W,0,0,0,15,6,15,0,14,39,4
MMV,0,0,0,0,0,0,0,0,5,20
3W,0,0,0,0,0,0,0,0,59,131
3W,0,2,239,763,1737,1180,2370,5884,10743,6317
4W,0,0,0,0,0,0,0,0,8,0
3W,0,0,0,0,177,308,381,1626,2517,1804
4W,0,0,0,0,0,0,0,0,1,0
3W,0,0,0,0,0,3,144,699,2512,939
4W,0,0,0,0,0,0,2,0,7,6
2W,0,0,0,0,0,0,0,67,37,14
3W,0,32,7,0,79,30,29,9,13,7
3W,0,6,0,0,0,0,0,0,0,0
3W,0,0,69,41,53,22,64,30,14,55
3W,0,80,114,69,20,15,63,39,162,327
3W,0,0,1,0,0,0,0,0,0,0
3W,0,0,0,0,0,25,113,92,145,55
3W,0,0,0,0,427,656,981,1159,1910,1060
4W,1,0,0,1,0,0,0,0,0,0
2W,0,0,0,0,0,0,0,1497,1574,80
2W,0,0,0,0,1196,4522,12470,79857,42903,857
2W,31,0,0,0,6,153,315,2390,8,0
3W,0,0,44,0,0,0,0,0,0,0
3W,0,0,1,0,0,0,0,0,0,0
4W,1,3,0,1,0,0,0,0,0,0
2W,0,0,0,0,0,0,0,6,51,22
2W,0,0,0,0,0,0,0,0,8,3
2W,0,0,0,0,0,0,0,0,61,39
2W,0,0,0,0,0,0,0,0,1,0
2W,0,0,0,0,0,0,0,0,13,8
3W,0,0,0,0,0,23,11,21,61,22
3W,0,0,2,3,0,0,0,0,0,0
3W,0,0,0,75,118,122,79,75,74,53
4W,0,0,0,1,0,0,0,0,0,0
3W,0,15,72,505,287,51,111,2,5,0
3W,0,0,0,0,0,0,0,0,0,8
4W,1,8,2,0,0,0,0,0,0,0
3W,0,0,25,5,0,0,0,0,0,0
3W,0,10,93,182,190,83,96,86,87,30
3W,0,0,5,0,0,0,0,0,0,0
3W,0,0,0,78,267,119,221,399,778,395
3W,0,0,0,153,276,191,418,379,725,685
4W,0,1,1,0,0,0,0,0,0,0
4W,1,0,0,0,0,0,0,0,0,0
3W,0,0,131,153,251,110,203,564,1077,777
3W,0,0,0,0,0,14,24,41,61,29
4W,0,0,0,0,0,0,0,1,0,0
3W,0,0,1,0,0,0,0,0,0,0
3W,0,0,0,12,8,0,0,0,0,0
3W,0,5,195,214,99,41,31,14,0,0
3W,0,0,29,331,308,185,373,344,590,76
3W,0,0,1,64,393,825,1276,2782,3958,1925
4W,0,0,0,0,0,0,1,3,0,0
3W,0,0,0,0,0,0,0,0,0,1
3W,0,0,5,21,2,7,35,61,86,126
3W,0,0,0,0,0,0,0,0,6,2
3W,0,0,0,0,0,0,0,0,294,828
3W,0,0,1,0,0,0,0,0,0,0
4W,0,1,0,0,0,0,0,0,0,0
3W,0,0,2,16,1,4,4,1,0,1
3W,0,0,0,5,0,0,0,0,0,0
3W,0,0,0,7,0,0,0,2,0,0
2W,0,0,0,24,2291,3052,15930,51808,104735,58547
3W,0,0,0,2,0,0,0,0,0,0
2W,0,0,0,0,0,2,17,3,1,0
3W,0,0,4,9,5,0,0,0,0,0
3W,0,397,1023,660,492,176,132,456,760,408
3W,35,1299,190,31,2,12,0,0,0,0
3W,1,99,219,492,510,438,893,2864,5502,3938
4W,0,0,14,11,0,0,0,2,5,0
3W,0,0,0,0,0,0,0,0,127,308
2W,0,0,0,0,0,0,0,0,105,22
3W,0,1,85,336,139,204,431,943,2335,1593
4W,0,0,1,0,0,0,43,115,143,100
3W,0,0,0,1,0,0,0,0,0,0
3W,0,0,0,0,0,0,0,21,578,524
3W,0,0,0,206,329,124,326,485,103,2
3W,0,0,49,216,571,328,139,64,11,1
3W,0,0,0,54,717,517,957,1480,2632,1951
4W,0,0,0,0,1,0,0,0,0,0
3W,0,1,17,4,1,3,13,40,10,0
2W,0,0,8,37,1,0,0,0,0,0
3W,0,0,71,191,342,366,470,760,784,429
4W,0,0,0,0,0,1,0,0,0,0
3W,0,0,0,0,6,0,0,0,0,0
2W,0,0,0,0,0,2,0,132,112,25
3W,0,0,0,0,0,0,0,0,28,663
3W,0,2,31,6,0,0,0,0,0,0
3W,0,2,53,132,145,92,39,288,1363,515
3W,0,0,1,0,0,0,0,0,0,0
3W,0,0,0,0,0,3,7,3,40,25
2W,0,0,0,0,0,0,0,0,4,3
2W,161,78,43,7,7,1243,4633,25318,71940,73698
3W,37,58,86,113,21,19,0,0,4574,16461
4W,0,0,0,0,0,0,0,0,0,1
3W,0,0,71,20,0,0,0,0,0,0
3W,0,0,83,283,211,70,42,195,947,575
3W,0,0,0,0,0,0,1,0,0,0
3W,0,0,21,87,94,31,86,64,105,99
4W,0,0,0,0,1,0,0,0,0,0
3W,0,0,0,0,0,0,0,0,7,21
4W,1,0,0,0,0,0,0,0,0,0
3W,0,0,0,0,0,0,13,105,146,112
3W,0,2,155,295,315,178,237,333,274,159
3W,0,0,0,0,1,0,0,0,0,0
3W,669,1321,30,1,0,0,0,0,0,0
2W,0,0,0,0,0,0,0,516,4139,1836
3W,0,0,0,0,0,0,0,0,271,1481
3W,0,0,0,1,0,0,0,0,0,0
2W,0,0,0,0,0,567,4758,13130,3005,402
3W,0,0,13,160,122,77,91,254,382,137
2W,0,1,0,0,0,0,0,0,0,0
3W,0,57,1501,2044,2312,2155,5022,6447,7902,3545
3W,1,147,271,11,8,50,179,141,33,0
3W,0,0,2,0,0,15,21,12,12,10
